id,latitude,longitude,price,review_count,rating,zip_code,city,alias,categories
eMiWhP0nVqQtaj40UtgkDw,33.7363128732934,-118.292749375105,$,22,2.5,90731,San Pedro,7-eleven-san-pedro-2,"[{'alias': 'convenience', 'title': 'Convenience Stores'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
ULOCHJ7C0I03G_fhYnSs1A,33.734352,-118.29237,$,41,2.5,90731,San Pedro,taco-bell-san-pedro-2,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]"
udlRwNdRomyfk7XmNEkBTA,33.73453,-118.292545,$$,945,4.0,90731,San Pedro,omelette-and-waffle-shop-san-pedro-2,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cafes', 'title': 'Cafes'}]"
TbXP9WhXubFDPxcB9Py-Bg,33.7346567,-118.2924949,$,33,4.0,90731,San Pedro,baskin-robbins-san-pedro,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'customcakes', 'title': 'Custom Cakes'}]"
GP4Q8mPXCqWVLk1nypNThw,33.7390625,-118.2924749,$$,41,3.5,90731,San Pedro,mvp-most-valuable-pizza-san-pedro,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]"
GYNEAT4dexIyx0uroy5BsA,33.73304,-118.2922351,$,52,3.5,90731,San Pedro,tacos-jalisco-san-pedro-2,"[{'alias': 'mexican', 'title': 'Mexican'}]"
Xp8DQKDnwNYog6t86eAPtQ,37.739348,-121.437027,$,70,1.5,95376,Tracy,pizza-hut-tracy-7,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
TldR0nxbG2S7f1g2YjJWuQ,33.733593,-118.292661,$,65,2.5,90731,San Pedro,tacos-super-gallito-san-pedro-4,"[{'alias': 'tacos', 'title': 'Tacos'}]"
ePA2fjgEcDGsf3IyMrfBSg,33.7403407942358,-118.292607621401,$,59,2.0,90731,San Pedro,kfc-san-pedro,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]"
WjOdpQAAcqRs2KLKtdSO7w,33.732136,-118.292053,$,35,3.5,90731,San Pedro,chefs-corner-pizzeria-san-pedro,"[{'alias': 'pizza', 'title': 'Pizza'}]"
IS-7cTWVvqQ2jA2-goXyBA,33.732435,-118.292309,$,40,1.5,90731,San Pedro,subway-restaurants-san-pedro,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
Q-XfLWEJJRpmPwfPagdT1w,33.7412156203672,-118.292717109443,$,90,2.0,90732,San Pedro,mcdonalds-san-pedro-2,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
NwcQ3duGT2HwYcDgPXBIUQ,33.7417523,-118.2924649,$$,305,3.5,90731,San Pedro,sushi-21-san-pedro,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
D39bRO6TBPJs3oJ3xk_oyg,33.7400610744953,-118.270000889897,$,15,4.0,90731,San Pedro,tikis-tacos-san-pedro,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]"
Ufi8F5KOtmEbfYQop_4sFA,33.732913,-118.293616,$$,5,1.0,90731,San Pedro,starbucks-san-pedro-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
DZNNxcntYI-Y48SRlQaijA,33.7308951,-118.2922451,$$,217,3.5,90731,San Pedro,buonos-authentic-pizzeria-san-pedro,"[{'alias': 'pizza', 'title': 'Pizza'}]"
WHU4tnC4iI76Yugt32sdMQ,33.73021,-118.29206,$,84,2.5,90731,San Pedro,dominos-pizza-san-pedro,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
tN64HN5SeDoB5JSL9eNq7g,33.7435038044946,-118.2918315,$,19,2.5,90731,San Pedro,7-eleven-san-pedro,"[{'alias': 'convenience', 'title': 'Convenience Stores'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
RwAlhIz1EwKvBJlTct_jyg,33.74358,-118.29199,$,130,4.0,90731,San Pedro,san-pedro-tacos-san-pedro,"[{'alias': 'mexican', 'title': 'Mexican'}]"
znW8JKwy_niG-C2eol8mkg,33.743592,-118.291862,$$,158,3.5,90731,San Pedro,wingstop-san-pedro,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
l4uu1vCNibYb-XkTPSP14w,33.743857,-118.291843,$,67,4.5,90731,San Pedro,toyo-bowl-san-pedro,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
XKG6-_yXvTVmMZJ3i-BfPA,33.7384852766991,-118.268617540598,$,17,3.0,90731,San Pedro,harbor-light-restaurant-and-market-san-pedro,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
ITls2oUdfq4lo0ApNyQv_A,33.743882,-118.292346,$,40,2.0,90731,San Pedro,taco-bell-san-pedro,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
z0t4YKPBUMZAkLafKvNTQw,33.743885,-118.292602,$,169,3.0,90731,San Pedro,ono-hawaiian-bbq-san-pedro,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'bbq', 'title': 'Barbeque'}]"
ZfxHJ35WTJxr0rxGpylSAA,33.7291802,-118.2922235,$$,217,3.5,90731,San Pedro,puesta-del-sol-san-pedro,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
tNQjsxKstD0pHs-iVjnsrw,33.74434,-118.29274,$,138,1.5,90731,San Pedro,el-pollo-loco-san-pedro,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
r38YA95-JeiYqOO-K8ru9A,33.7450265182115,-118.2920149,$,25,2.5,90731,San Pedro,wienerschnitzel-san-pedro,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
vC5VaCfaIVHhxHbfvgLlKA,33.74863,-118.279968,$,9,4.0,90731,San Pedro,super-churros-california-san-pedro,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'foodstands', 'title': 'Food Stands'}]"
O6sWnh6QsoQE8b7MOjoTvw,33.7359351,-118.296359,$,92,4.0,90731,San Pedro,pinas-cafe-san-pedro,"[{'alias': 'mexican', 'title': 'Mexican'}]"
rQnY-YiBaqfIDjbakjDUjg,33.73467,-118.29707,$,166,4.5,90731,Los Angeles,josephs-bakery-los-angeles,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'desserts', 'title': 'Desserts'}]"
AADmAvwMiIj2WjTKJhNjrQ,33.7492105361239,-118.278922422136,$$,36,3.5,90731,San Pedro,catalina-bistro-and-express-grill-san-pedro,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
Zwa4u4ZyLjqqF6kzQDjzAA,33.744005,-118.2990849,$,64,3.5,90731,San Pedro,enchilada-house-san-pedro,"[{'alias': 'mexican', 'title': 'Mexican'}]"
-LqlXoQlC7qUGDraR-6z2w,33.718627,-118.282263,$$,14,3.5,90731,Los Angeles,marina-bar-and-grill-los-angeles,"[{'alias': 'italian', 'title': 'Italian'}]"
SijhTpsIgB1I7px_Oyt0Pg,33.753456,-118.292198,$,70,3.0,90731,San Pedro,larrys-hamburgers-san-pedro,"[{'alias': 'burgers', 'title': 'Burgers'}]"
bbk4ybHLxIJJL6UmSGzetw,33.75416,-118.29191,$,29,3.0,90731,San Pedro,donut-star-san-pedro,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bagels', 'title': 'Bagels'}]"
rKvNLEqXJYlgQxJH_8PB1w,33.75416,-118.29191,$,162,3.5,90731,San Pedro,the-original-las-brisas-san-pedro-2,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mexican', 'title': 'Mexican'}]"
