,alias,categories,city,id,latitude,longitude,price,rating,review_count,zip_code
13365,mcdonalds-norwalk-3,"['burgers', 'hotdogs', 'coffee']",Norwalk,I0h20lNDpGi-uTANA79Upg,33.90250332,-118.0984165,1,2.0,87.0,90650
13366,mcdonalds-norwalk-18,"['hotdogs', 'coffee', 'burgers']",Norwalk,ryjJIav0tM_gojWOvsYD6Q,33.9174220636927,-118.102203905582,1,2.5,44.0,90650
13367,mcdonalds-northridge-8,"['hotdogs', 'burgers', 'coffee']",Northridge,2JYqVvaiMlIEnP9b6dyOJw,34.25881,-118.53549,1,2.0,124.0,91326
13368,mcdonalds-northridge-7,"['hotdogs', 'burgers', 'coffee']",Northridge,bDuBrTpV-F8oVqhWLFJ4ig,34.220654100000004,-118.51895479999999,1,1.5,91.0,91325
13369,mcdonalds-northridge-5,"['hotdogs', 'burgers', 'coffee']",Northridge,Xozrg1hea0UUW4_8sXDJiQ,34.228639,-118.5545206,1,2.0,147.0,91324
13370,mcdonalds-northridge-4,"['hotdogs', 'burgers', 'coffee']",Northridge,9-iOeaNePuBBvwtTOES3zA,34.250033392569,-118.502767682076,1,2.0,113.0,91325
13371,mcdonalds-northridge-3,"['hotdogs', 'burgers', 'coffee']",Northridge,Qjddc7Lqfh-AdEXa2Og5DQ,34.23589607,-118.5365085,1,1.5,122.0,91324
13372,mcdonalds-north-hollywood-7,"['hotdogs', 'burgers', 'coffee']",North Hollywood,USxG_qKfqrhyMXvPZFK02A,34.187019061339896,-118.41460949624901,1,2.0,78.0,91605
13373,mcdonalds-north-hollywood-6,"['hotdogs', 'burgers', 'coffee']",North Hollywood,r547PvPFwdnLQFypc9xToA,34.2169058,-118.38811059999999,1,2.0,78.0,91605
13374,mcdonalds-north-hollywood-5,"['hotdogs', 'burgers', 'coffee']",North Hollywood,fL55Ss7aOGwI9P2a0z5MMw,34.1525109701406,-118.367887437344,1,2.5,155.0,91602
13375,mcdonalds-north-hollywood-12,"['hotdogs', 'burgers', 'coffee']",North Hollywood,Egz6pl3xgXFsGQiS9z-PGA,34.200939,-118.407987,1,1.5,57.0,91605
13376,mcdonalds-north-hollywood-11,"['hotdogs', 'burgers', 'coffee']",North Hollywood,6xC9S_NjCYStc4c2Jfr55g,34.21854929,-118.36992240000002,1,2.0,65.0,91352
13377,mcdonalds-north-hollywood-10,"['hotdogs', 'burgers', 'coffee']",North Hollywood,qg0kmoYrzdac7J4Bv7yRBw,34.18508433,-118.3871652,1,2.0,71.0,91606
13378,mcdonalds-north-hollywood,"['burgers', 'hotdogs', 'coffee']",North Hollywood,lW8e6s1IfU1STnpLprsq5w,34.1862302747413,-118.370855222465,1,1.5,92.0,91606
13379,mcdonalds-north-hills-3,"['hotdogs', 'burgers', 'coffee']",North Hills,blQnfmGQVv_ZLWemYS1qGQ,34.249690852147104,-118.46709161996799,1,2.5,60.0,91343
13380,mcdonalds-north-hills-2,"['burgers', 'coffee', 'hotdogs']",North Hills,kWIWpDfTjwUcR2tjAZ_Z8g,34.22823995,-118.5006621,1,2.0,85.0,91343
13381,mcdonalds-north-hills,"['hotdogs', 'burgers', 'coffee']",North Hills,wYGGQ9b4VjUielI2z-EqJw,34.2280648323204,-118.46717836884,1,1.5,60.0,91343
13382,mcdonalds-n-hollywood,"['hotdogs', 'burgers', 'coffee']",N Hollywood,LFQBc2-d4jDfBBzp40CYfw,34.1722949,-118.3720871,1,1.5,124.0,91601
13383,mcdonalds-monterey-park-2,"['burgers', 'hotdogs', 'coffee']",Monterey Park,VKFodI6T_U7kbddsb1xDsA,34.039786,-118.144356,1,2.0,119.0,91754
13384,mcdonalds-montebello,"['hotdogs', 'burgers', 'coffee']",Montebello,1RUfpOgjGRnxdjgDezKDxQ,34.02065,-118.12093999999999,1,2.0,100.0,90640
13385,mcdonalds-montclair-7,"['coffee', 'burgers', 'hotdogs']",Montclair,QQ7BACCvEY5qQK5cCyEumg,34.087861,-117.689242,1,2.0,144.0,91763
13386,mcdonalds-montclair-6,"['burgers', 'hotdogs', 'coffee']",Montclair,vmvMQelnpWkpQrK61omNjA,34.0554898,-117.70656799999999,1,1.5,71.0,91763
13387,mcdonalds-monrovia,"['hotdogs', 'burgers', 'coffee']",Monrovia,mof47rKk4DhQ_4ClHP9ELw,34.140013,-118.009126,1,2.0,126.0,91016
13388,mcdonalds-mission-hills,"['burgers', 'hotdogs', 'coffee']",Mission Hills,oSOJaQ61zN4fm_Mi0jNxUw,34.2703485336663,-118.467672988772,1,2.0,92.0,91345
13389,mcdonalds-maywood-2,"['hotdogs', 'burgers', 'coffee']",Maywood,_wMSgG16gU4NaoD0XD3VeA,33.9868685,-118.185949,1,1.5,109.0,90270
13390,mcdonalds-manhattan-beach-3,"['hotdogs', 'burgers', 'coffee']",Manhattan Beach,5CrTdNkgCV46CfSqKIAtAw,33.873098999999996,-118.39369599999999,1,2.5,63.0,90266
13391,mcdonalds-manhattan-beach,"['burgers', 'hotdogs', 'coffee']",Manhattan Beach,PByTtdah-oY9PZym4hCP-A,33.88707,-118.37899999999999,1,2.0,77.0,90266
13392,mcdonalds-malibu,"['burgers', 'hotdogs', 'coffee']",Malibu,n1_rqz7WMEbkQaWVlHj-rA,34.03987,-118.66986000000001,1,2.0,85.0,90265
13393,mcdonalds-lynwood-4,"['burgers', 'hotdogs', 'coffee']",Lynwood,LGLif6h9rUn07waTlwAA9Q,33.93015,-118.21088,1,1.5,98.0,90262
13394,mcdonalds-lynwood,"['hotdogs', 'burgers', 'coffee']",Lynwood,olhtbse1yklq7u5jsw4Xow,33.93258962,-118.1831557,1,1.5,46.0,90262
13395,mcdonalds-los-angeles-95,"['hotdogs', 'burgers', 'coffee']",Los Angeles,Kjfge9qCqyYgFmDm6Fd4XQ,33.9749,-118.283005,1,1.5,40.0,90044
13396,mcdonalds-los-angeles-94,"['hotdogs', 'burgers', 'coffee']",Los Angeles,NS56A906fBmxXToPyWRk8Q,34.030281,-118.334773,1,2.0,46.0,90016
13397,mcdonalds-los-angeles-91,"['hotdogs', 'burgers', 'coffee']",Los Angeles,iYJn3Z3DMqL8tWpu8b-Ddg,33.988797399999996,-118.29103020000001,1,1.5,25.0,90044
13398,mcdonalds-los-angeles-86,"['hotdogs', 'burgers', 'coffee']",Los Angeles,PfwikRCuSwJKoml_IP7hig,34.0740642406467,-118.208744600415,1,1.5,69.0,90031
13399,mcdonalds-los-angeles-82,"['hotdogs', 'burgers', 'coffee']",Los Angeles,t4HlFatG4RreQOcOoaWbbw,34.043919,-118.290683,1,1.5,35.0,90006
13400,mcdonalds-los-angeles-80,"['hotdogs', 'burgers', 'coffee']",Los Angeles,CA4xJZ3Qmn8wrGmNdxrfRw,34.080599,-118.26063899999998,1,2.0,82.0,90026
13401,mcdonalds-los-angeles-77,"['hotdogs', 'burgers', 'coffee']",Los Angeles,xZ9V3RTScZluVh98K4WCEg,34.1049478835175,-118.201550919684,1,1.5,63.0,90042
13402,mcdonalds-los-angeles-74,"['hotdogs', 'burgers', 'coffee']",Los Angeles,LPsCxHcp0iaod1knSTKjlQ,33.945806,-118.370783,1,2.5,115.0,90045
13403,mcdonalds-los-angeles-71,"['hotdogs', 'burgers', 'coffee']",Los Angeles,4QCFoamzXT1cQ_7vc95_Pg,33.9025133335327,-118.253969619982,1,2.0,30.0,90059
13404,mcdonalds-los-angeles-7,"['burgers', 'hotdogs', 'coffee']",Los Angeles,kBEdbjI2xUUn8NDg561MGA,34.04288753,-118.3768044,1,1.5,93.0,90035
13405,mcdonalds-los-angeles-63,"['hotdogs', 'burgers', 'coffee']",Los Angeles,n1yu-g8KobLRt81pNNskhA,34.026224600000006,-118.2770804,1,2.0,120.0,90007
13406,mcdonalds-los-angeles-6,"['hotdogs', 'burgers', 'coffee']",Los Angeles,tJ3G6mBTYWaa3RrUgOgHWA,34.0313994415593,-118.244047,1,1.5,52.0,90021
13407,mcdonalds-los-angeles-59,"['hotdogs', 'burgers', 'coffee']",Los Angeles,cHiFVbrHG7hjPdOb1IGvTA,34.01075932,-118.28190079999999,1,1.5,48.0,90037
13408,mcdonalds-los-angeles-56,"['hotdogs', 'burgers', 'coffee']",Los Angeles,UjzEG-M-JVNvBvXSbbGK5g,34.063989899999996,-118.3668,1,3.0,62.0,90048
13409,mcdonalds-los-angeles-55,"['hotdogs', 'burgers', 'coffee']",Los Angeles,ypLHFH37vPkfe-yPAEWHAA,34.0324431120719,-118.266991516621,1,2.0,96.0,90007
13410,mcdonalds-los-angeles-54,"['hotdogs', 'burgers', 'coffee']",Los Angeles,GZqe2VlNtb18oP4wxN47QA,34.11513574,-118.24670630000001,1,1.5,136.0,90065
13411,mcdonalds-los-angeles-53,"['hotdogs', 'burgers', 'coffee']",Los Angeles,v2GpaLMu4_94l9pewPt2QA,34.0558589,-118.27093059999999,1,2.0,104.0,90017
13412,mcdonalds-los-angeles-52,"['hotdogs', 'burgers', 'coffee']",Los Angeles,H1ePdbTLkaJABRZAWxS2Dg,34.05101,-118.27923,1,2.0,93.0,90006
13413,mcdonalds-los-angeles-50,"['hotdogs', 'burgers', 'coffee']",Los Angeles,nByMf7K_w8dJ6hXRe5HDew,34.01933679,-118.40696659999999,1,2.0,196.0,90034
13414,mcdonalds-los-angeles-5,"['burgers', 'hotdogs', 'coffee']",Los Angeles,c51W7jPmw_VSBQlxVeg2TQ,33.9312755005977,-118.282927125692,1,1.5,80.0,90044
13415,mcdonalds-los-angeles-49,"['hotdogs', 'burgers', 'coffee']",Los Angeles,gqG1BiNRp43r5FqiFv2-Qg,34.07057216,-118.2682112,1,2.0,75.0,90026
13416,mcdonalds-los-angeles-44,"['hotdogs', 'burgers', 'coffee']",Los Angeles,Kiotb9tTJYt_usX1FYtiYg,34.0213267,-118.35546509999999,1,2.0,50.0,90016
13417,mcdonalds-los-angeles-43,"['burgers', 'hotdogs', 'coffee']",Los Angeles,Q-qKmndDeCyh-aI3kwocBA,34.08863,-118.30955,1,2.0,100.0,90029
