id,latitude,longitude,price,review_count,rating,zip_code,city,alias,category,med_agi,avg_agi,count
NoKYErEO07D0COkPenL10w,34.075295200000006,-118.2536317,1,888.0,3.5,90026,Los Angeles,the-short-stop-los-angeles,"['divebars', 'lounges', 'danceclubs']",54342,81369,214
NffHWFzlhlsPvl06guR2gQ,34.07754966,-118.2647322,2,2375.0,4.0,90026,Los Angeles,mohawk-bend-los-angeles,"['beerbar', 'pizza', 'newamerican']",54342,81369,214
NdGZjoiNG0cMNnk8HODoNw,34.08368528,-118.25599409999998,1,58.0,5.0,90026,Los Angeles,randyland-los-angeles,"['localflavor', 'galleries']",54342,81369,214
NZpX4f4rHMmyWZTpb-XJ1Q,34.08259,-118.27228,2,128.0,4.0,90026,Los Angeles,moon-juice-los-angeles,"['juicebars', 'coffee', 'healthmarkets']",54342,81369,214
NNayFhITG-6Lfbc4pCLr0A,34.08828,-118.27661,2,54.0,4.0,90026,Los Angeles,ramen-tatsunoya-los-angeles-2,"['ramen', 'noodles']",54342,81369,214
NDulwLNtqgtQacbz2kaBqg,34.08924122,-118.269026,1,17.0,3.5,90026,Los Angeles,7-eleven-los-angeles-152,"['convenience', 'coffee']",54342,81369,214
MXrDyxjqjSoohQIcYvV89A,34.08217591,-118.2602262,1,2.0,4.0,90026,Los Angeles,fresh-fruit-stand-los-angeles,['streetvendors'],54342,81369,214
M97EK0ga4dT9ldwHT3_i9Q,34.07509,-118.2535,1,66.0,4.5,90026,Los Angeles,hot-dog-lady-los-angeles-3,"['foodstands', 'hotdog']",54342,81369,214
M--hANCBq8EqR4in8CnPew,34.07556932,-118.2553611,2,357.0,4.5,90026,Los Angeles,sunset-beer-company-los-angeles,"['beer_and_wine', 'wine_bars']",54342,81369,214
LnDaBOTEkOhzVwikDJutKA,34.0742836,-118.2523956,1,1.0,3.0,90026,Los Angeles,el-autentico-restaurant-los-angeles,['restaurants'],54342,81369,214
LXZh0WKlIc8GMMsd_XrWEA,34.0755378,-118.2814473,2,146.0,4.5,90026,Los Angeles,drink-houz-los-angeles,"['coffee', 'juicebars', 'breakfast_brunch']",54342,81369,214
L3rnYtOWFozTC2jAfWKXvQ,34.0779845,-118.2608256,2,108.0,3.0,90026,Los Angeles,brite-spot-los-angeles-2,"['breakfast_brunch', 'tradamerican']",54342,81369,214
L3YM8cAda9L_t_j-2C4ufA,34.077123,-118.25871399999998,2,2173.0,4.0,90026,Los Angeles,sage-plant-based-bistro-and-brewery-echo-park-los-angeles-2,"['vegan', 'brewpubs']",54342,81369,214
L-p6J-tSWPC5btsqDmpgOA,34.09074329999999,-118.27787920000002,2,44.0,4.0,90026,Los Angeles,scout-los-angeles-5,"['cafes', 'coffee', 'sandwiches']",54342,81369,214
KckVmgZAwIXNqfI5dIG6Fg,34.0785719,-118.26090829999998,1,36.0,2.5,90026,Los Angeles,burger-king-los-angeles-36,"['hotdogs', 'burgers']",54342,81369,214
KDHlS9X2acBGBstiRWW0Vw,34.07824,-118.26108,2,96.0,4.0,90026,Los Angeles,taix-321-lounge-los-angeles-2,['lounges'],54342,81369,214
JFc9t0vL5n2bMLvTwcWGOQ,34.08879,-118.27684,2,182.0,3.5,90026,Los Angeles,fat-dragon-los-angeles,"['chinese', 'noodles', 'coffee']",54342,81369,214
J6MO1BfKu-uQfmzvBRS9DA,34.071471,-118.27306000000002,1,51.0,4.0,90026,Los Angeles,my-moms-bakeshop-los-angeles,"['bakeries', 'filipino']",54342,81369,214
