,zip_code,count,review_count,price*review_count,price_1,price_2,price_3,price_4,rating_0.0,rating_1.0,rating_1.5,rating_2.0,rating_2.5,rating_3.0,rating_3.5,rating_4.0,rating_4.5,rating_5,cluster
69,90230,143,261.93706293706293,355.3551762922392,92,51,0,0,0,0,1,12,16,31,37,29,13,4,4
70,90232,146,415.97945205479454,717.9919309438919,47,94,3,2,0,1,0,0,4,14,33,64,23,7,4
71,90240,78,213.35897435897436,292.6847468770546,49,29,0,0,0,0,1,6,8,12,23,16,11,1,27
72,90241,137,287.06569343065695,414.88326495817574,76,61,0,0,0,0,8,8,15,21,32,36,15,2,27
73,90242,89,202.68539325842696,280.11576821108446,56,32,1,0,0,0,4,9,12,10,24,19,9,2,27
74,90245,141,282.1276595744681,442.2000905387053,63,76,2,0,0,0,0,3,6,26,32,55,17,2,25
75,90247,142,261.90140845070425,374.4083515175561,83,58,0,1,0,1,2,11,6,23,24,53,19,3,25
76,90248,90,236.77777777777777,339.3814814814815,55,31,4,0,0,0,0,8,8,11,18,31,11,3,25
77,90249,110,180.95454545454547,259.91652892561984,65,43,1,1,0,0,3,4,10,17,19,35,21,1,25
78,90250,166,124.47590361445783,160.46893598490348,119,46,1,0,0,1,4,13,22,24,37,43,18,4,25
79,90254,98,327.81632653061223,568.6609745939191,32,60,6,0,0,0,0,0,3,9,29,34,23,0,25
80,90255,184,66.04347826086956,85.06687145557656,133,50,0,1,0,1,9,14,26,20,39,38,26,11,18
81,90260,79,165.36708860759492,213.51193718955292,56,23,0,0,0,0,1,9,5,13,16,13,18,4,25
82,90262,116,74.37068965517241,93.60448870392389,87,28,1,0,0,1,12,14,16,16,24,20,12,1,27
83,90265,63,556.4920634920635,1112.984126984127,16,36,6,5,0,0,0,4,3,11,12,24,8,1,8
84,90266,130,390.5769230769231,682.0073964497042,45,75,8,2,0,0,1,5,2,16,34,50,19,3,25
85,90270,59,75.22033898305085,90.51939097960356,47,12,0,0,0,0,4,6,12,7,6,11,9,4,18
86,90272,58,123.17241379310344,214.48989298454222,20,33,5,0,0,0,0,2,3,7,11,20,11,4,4
87,90274,40,133.875,224.240625,14,25,1,0,0,0,0,1,4,7,10,11,5,2,13
88,90275,49,192.75510204081633,350.10620574760515,17,27,2,3,0,0,1,2,6,8,13,15,3,1,13
89,90277,192,333.5260416666667,568.0365397135417,68,114,9,1,0,0,1,3,10,15,45,66,45,7,13
90,90278,95,208.2421052631579,309.0751246537396,53,39,2,1,0,0,0,4,11,15,23,24,17,1,25
91,90280,193,65.6839378238342,80.31818303847083,150,43,0,0,0,2,8,17,30,29,34,48,20,5,27
92,90290,7,304.7142857142857,652.9591836734694,1,4,2,0,0,0,0,0,0,1,1,3,0,2,9
93,90291,162,386.71604938271605,649.3010211857949,64,87,10,1,0,0,2,5,5,14,35,59,35,7,4
94,90292,123,412.9024390243902,745.2385484830457,40,68,14,1,0,0,0,3,7,18,39,45,10,1,4
95,90293,29,318.13793103448273,548.513674197384,10,17,2,0,0,0,0,0,0,3,6,15,4,1,4
96,90301,97,178.11340206185568,235.03624189605696,66,31,0,0,0,0,2,8,5,9,19,31,17,6,25
97,90302,45,146.33333333333334,208.11851851851853,27,17,1,0,0,0,4,3,4,4,9,9,8,4,25
98,90303,54,82.38888888888889,109.85185185185185,36,18,0,0,0,0,6,10,8,11,9,6,3,1,25
99,90304,61,89.08196721311475,106.60628863208815,49,12,0,0,0,1,3,3,5,8,14,19,7,1,25
100,90305,15,68.0,99.73333333333332,8,7,0,0,0,0,1,1,1,3,2,3,1,3,25
101,90401,222,523.472972972973,1004.5021913805698,51,142,25,4,0,0,2,6,18,25,49,84,35,3,4
102,90402,19,292.8421052631579,631.9224376731303,3,11,4,1,0,0,0,0,1,1,11,4,2,0,4
103,90403,89,377.0449438202247,720.1982072970585,24,53,8,4,0,0,0,1,2,7,29,38,10,2,4
